0	0.25 0.28 0.65	   0.554728 0.000287262    0.623651	-0 -0 -0
0.001	0.25 0.28 0.65	   0.554728 0.000289085    0.623654	-1.10261e-08  8.39234e-06  -7.5668e-06
0.002	0.25 0.28 0.65	   0.554729 0.000289255    0.623651	  7.0724e-07  2.10477e-06 -5.59256e-06
0.003	0.25 0.28 0.65	   0.554729 0.000291985     0.62365	 9.42764e-10    2.851e-07 -4.71617e-06
0.004	0.25 0.28 0.65	   0.55473 0.00030216   0.623649	-3.98153e-07 -2.99275e-07 -2.63362e-05
0.005	0.25 0.28 0.65	   0.554728 0.000320833    0.623646	  3.7368e-06 -9.15707e-06 -7.01524e-05
0.006	0.25 0.28 0.65	   0.554732 0.000344348    0.623614	-8.66621e-06 -7.03851e-05  -0.00011859
0.007	0.25 0.28 0.65	   0.554749 0.000378147    0.623553	-3.55912e-05 -0.000180281 -0.000178488
0.008	0.25 0.28 0.65	   0.554783 0.000411272    0.623458	-5.36451e-05  -0.00034942 -0.000237748
0.009	0.25 0.28 0.65	   0.554823 0.000438695    0.623337	-6.48929e-05 -0.000589216  -0.00028255
0.01	0.25 0.28 0.65	   0.554864 0.000441116    0.623213	-6.53484e-05 -0.000833217 -0.000286396
0.011	0.25 0.28 0.65	     0.5549 0.000424845    0.623107	-4.40319e-05  -0.00102955 -0.000265538
0.012	0.25 0.28 0.65	   0.554927 0.000403835    0.623032	-2.04896e-05  -0.00113974 -0.000226306
0.013	0.25 0.28 0.65	   0.554939 0.000387869    0.623021	2.05927e-05 -0.00108561 -0.00020707
0.014	0.25 0.28 0.65	   0.554935 0.000378725    0.623056	 5.09861e-05 -0.000931262 -0.000194292
0.015	0.25 0.28 0.65	   0.554906 0.000383638    0.623112	 6.08272e-05 -0.000798562 -0.000203198
0.016	0.25 0.28 0.65	   0.554862 0.000406424    0.623184	 3.61943e-05 -0.000705375 -0.000238883
0.017	0.25 0.28 0.65	   0.554818 0.000447804    0.623252	-4.03013e-06  -0.00064578 -0.000299657
0.018	0.25 0.28 0.65	   0.554781 0.000490661    0.623301	-5.49598e-05 -0.000612565 -0.000360806
0.019	0.25 0.28 0.65	   0.554754 0.000520131    0.623335	-9.24349e-05  -0.00057586 -0.000404021
0.02	0.25 0.28 0.65	   0.554737 0.000523677    0.623349	-0.000104708 -0.000555505 -0.000408295
0.021	0.25 0.28 0.65	   0.554737 0.000513926    0.623321	 -9.9554e-05 -0.000605813 -0.000382314
0.022	0.25 0.28 0.65	    0.55475 0.000499889    0.623277	-8.12332e-05 -0.000690989  -0.00035759
0.023	0.25 0.28 0.65	   0.554774 0.000483773    0.623224	-6.24737e-05 -0.000781641 -0.000333707
